column_a,player_id,year,rnd,pick,tm,player,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
2015Jameis Winston,WinsJa00,2015,1,1,TAM,Jameis Winston,No,QB,QB,13,21,2016,0,1,2,13,13,26,540,913,6722,42,25,86,311,7,,,,,,,Florida St.
2015Brandon Scherff,ScheBr00,2015,1,5,WAS,Brandon Scherff,No,T,T,7,23,2016,0,0,2,7,7,27,,,,,,,,,,,,,,,Iowa
2015Kevin White,WhitKe00,2015,1,7,CHI,Kevin White,No,WR,WR,0,23,2016,0,0,0,0,0,4,,,,,,1,9,0,19,187,0,,,,West Virginia
2015Vic Beasley,BeasVi00,2015,1,8,ATL,Vic Beasley,No,OLB,LB,7,23,2016,0,0,1,7,7,26,,,,,,,,,,,,44,1,13.5,Clemson
2015Ereck Flowers,FlowEr00,2015,1,9,NYG,Ereck Flowers,No,T,T,9,21,2016,0,0,2,9,9,25,,,,,,,,,1,-11,0,,,,Miami (FL)
1985Chuck Scott,ScotCh22,1985,2,50,RAM,Chuck Scott,No,WR,WR,1,22,1987,0,0,0,1,1,11,,,,,,,,,6,87,0,,,Vanderbilt,
2015Trae Waynes,WaynTr00,2015,1,11,MIN,Trae Waynes,No,CB,DB,1,23,2016,0,0,0,1,1,26,,,,,,,,,,,,54,2,,Michigan St.
2015Andrus Peat,PeatAn00,2015,1,13,NOR,Andrus Peat,No,T,T,6,21,2016,0,0,0,6,6,21,,,,,,,,,,,,,,,Stanford
2015Arik Armstead,ArmsAr01,2015,1,17,SFO,Arik Armstead,No,DT,DT,1,21,2016,0,0,0,1,1,24,,,,,,,,,,,,23,,4.5,Oregon
2015Nelson Agholor,AghoNe00,2015,1,20,PHI,Nelson Agholor,No,WR,WR,2,22,2016,0,0,1,2,2,23,,,,,,1,5,0,50,547,2,,,,USC
2015D.J. Humphries,HumpD.00,2015,1,24,ARI,D.J. Humphries,No,T,T,0,21,2016,0,0,1,0,0,10,,,,,,,,,,,,,,,Florida
2015Shaq Thompson,ThomSh01,2015,1,25,CAR,Shaq Thompson,No,OLB,LB,5,21,2016,0,0,1,5,5,22,,,,,,,,,,,,48,,1,Washington
2015Byron Jones,JoneBy00,2015,1,27,DAL,Byron Jones,No,CB,DB,4,23,2016,0,0,1,4,4,27,,,,,,,,,,,,92,,,Connecticut
2015Laken Tomlinson,TomlLa01,2015,1,28,DET,Laken Tomlinson,No,G,G,7,23,2016,0,0,1,7,7,27,,,,,,,,,,,,,,,Duke
2015Damarious Randall,RandDa00,2015,1,30,GNB,Damarious Randall,No,FS,DB,5,23,2016,0,0,0,5,5,19,,,,,,,,,,,,66,4,,Arizona St.
2015Stephone Anthony,AnthSt00,2015,1,31,NOR,Stephone Anthony,No,ILB,LB,6,23,2016,0,0,1,6,6,23,,,,,,,,,,,,74,1,1,Clemson
2015Landon Collins,CollLa00,2015,2,33,NYG,Landon Collins,No,SS,DB,5,21,2016,0,0,2,5,5,26,,,,,,,,,,,,146,6,3,Alabama
2015Donovan Smith,SmitDo02,2015,2,34,TAM,Donovan Smith,No,T,T,8,22,2016,0,0,1,8,8,26,,,,,,,,,,,,,,,Penn St.
